epoch,loss
0,0.0029867705889046192
1,0.002587591763585806
2,0.0017933996859937906
3,0.0009306888678111136
4,0.0003078131703659892
5,0.00020279642194509506
6,0.0001507824781583622
7,0.00011456807260401547
8,9.326143481303006e-05
9,7.67071614973247e-05
10,7.25694844732061e-05
11,6.944353663129732e-05
12,6.646291876677424e-05
13,6.467270577559248e-05
14,6.308349838946015e-05
15,6.215335451997817e-05
16,6.16088873357512e-05
17,6.091460818424821e-05
18,6.0428439610404894e-05
19,5.998493725201115e-05
20,5.96572135691531e-05
21,5.9409856476122513e-05
22,5.9072499425383285e-05
23,5.88148832321167e-05
24,5.853036418557167e-05
25,5.8288358559366316e-05
26,5.8049925428349525e-05
27,5.7806450058706105e-05
28,5.754176891059615e-05
29,5.734700971515849e-05
30,5.711853737011552e-05
31,5.694684659829363e-05
32,5.674061685567722e-05
33,5.658868030877784e-05
34,5.6396733270958066e-05
35,5.6271343055414036e-05
36,5.6135995691874996e-05
37,5.595853508566506e-05
38,5.58146093680989e-05
39,5.565817991737276e-05
40,5.552825314225629e-05
41,5.542318103834987e-05
42,5.5313415941782296e-05
43,5.521228376892395e-05
44,5.5093532864702865e-05
45,5.499809412867762e-05
46,5.489793693413958e-05
47,5.480348409037106e-05
48,5.468374729389325e-05
49,5.456605867948383e-05
50,5.447730654850602e-05
51,5.4396405175793916e-05
52,5.430845340015367e-05
53,5.4223019105847925e-05
54,5.4182339226827025e-05
55,5.4074436775408685e-05
56,5.3967709391145036e-05
57,5.387001147028059e-05
58,5.378274727263488e-05
59,5.3710777137894183e-05
60,5.370576764107682e-05
61,5.3622123232344165e-05
62,5.3511306759901345e-05
63,5.3487503464566544e-05
64,5.338572373148054e-05
65,5.328534825821407e-05
66,5.318414332577959e-05
67,5.3039693739265203e-05
68,5.289798718877137e-05
69,5.2819683332927525e-05
70,5.273551869322546e-05
71,5.2658640925073996e-05
72,5.263091225060634e-05
73,5.2553892601281404e-05
74,5.2449842769419774e-05
75,5.2407336625037715e-05
76,5.2383231377461925e-05
77,5.229697853792459e-05
78,5.221337414695881e-05
79,5.2135092118987814e-05
80,5.208747461438179e-05
81,5.2058148867217824e-05
82,5.199718361836858e-05
83,5.195059929974377e-05
84,5.1924762374255806e-05
85,5.1904473366448656e-05
86,5.189417424844578e-05
87,5.1804963732138276e-05
88,5.173882527742535e-05
89,5.1717550377361476e-05
90,5.1633291150210425e-05
91,5.1577226258814335e-05
92,5.1567905757110566e-05
93,5.156418410479091e-05
94,5.156418410479091e-05
95,5.156418410479091e-05
96,5.156418410479091e-05
97,5.156418410479091e-05
98,5.156418410479091e-05
99,5.156418410479091e-05
100,5.156418410479091e-05
101,5.156418410479091e-05
102,5.156418410479091e-05
103,5.156418410479091e-05
