epoch,loss
0,8.89989169081673e-05
1,7.825055217836052e-05
2,4.333220931584947e-05
3,3.0739331123186275e-05
4,2.3844399038353004e-05
5,2.2850528694107197e-05
6,2.1968149667372927e-05
7,2.1572514015133493e-05
8,2.1337724319892004e-05
9,2.1177949747652747e-05
10,2.106944339175243e-05
11,2.1068688511149958e-05
12,2.106785905198194e-05
13,2.096917523886077e-05
14,2.0962852431694046e-05
15,2.0962852431694046e-05
16,2.0962852431694046e-05
17,2.0962852431694046e-05
18,2.0962852431694046e-05
19,2.0962852431694046e-05
20,2.0962852431694046e-05
21,2.0962852431694046e-05
22,2.0962852431694046e-05
23,2.0962852431694046e-05
24,2.0962852431694046e-05
