epoch,loss
0,6.44392057438381e-05
1,4.0732127672526985e-05
2,2.940070589829702e-05
3,2.6297395379515365e-05
4,2.3240307200467214e-05
5,2.2110858481028117e-05
6,2.155505535483826e-05
7,2.1376245058490895e-05
8,2.1199006368988194e-05
9,2.1173502318561077e-05
10,2.100572055496741e-05
11,2.0919007511110976e-05
12,2.0919007511110976e-05
13,2.0919007511110976e-05
14,2.0919007511110976e-05
15,2.0919007511110976e-05
16,2.0919007511110976e-05
17,2.0919007511110976e-05
18,2.0919007511110976e-05
19,2.0919007511110976e-05
20,2.0919007511110976e-05
21,2.0919007511110976e-05
