epoch,loss
0,0.0004979744553565979
1,0.00039723762893117964
2,0.00025135328178294003
3,0.00019170608720742166
4,0.00012736745702568442
5,0.00011226026254007593
6,0.00010188554733758792
7,8.89277653186582e-05
8,7.879484473960474e-05
9,6.860410940134898e-05
10,6.44680840196088e-05
11,5.802921441500075e-05
12,4.865941809839569e-05
13,4.309289943194017e-05
14,3.920554445357993e-05
15,3.761917832889594e-05
16,3.641340299509466e-05
17,3.581557757570408e-05
18,3.5266530176158994e-05
19,3.4925320505863056e-05
20,3.466242560534738e-05
21,3.4468168450985104e-05
22,3.430633296375163e-05
23,3.418866981519386e-05
24,3.418245250941254e-05
25,3.4075172152370214e-05
26,3.400189962121658e-05
27,3.385867603356019e-05
28,3.3827756851678714e-05
29,3.3816333598224446e-05
30,3.374916559550911e-05
31,3.3695159800117835e-05
32,3.360691698617302e-05
33,3.3517906558699906e-05
34,3.343427670188248e-05
35,3.3327094570267946e-05
36,3.331405605422333e-05
37,3.325174839119427e-05
38,3.317375376354903e-05
39,3.3058051485568285e-05
40,3.3008116588462144e-05
41,3.291820758022368e-05
42,3.289050073362887e-05
43,3.28139285556972e-05
44,3.279980592196807e-05
45,3.276943607488647e-05
46,3.275756898801774e-05
47,3.27190246025566e-05
48,3.2672574889147654e-05
49,3.267169449827634e-05
50,3.2667619962012395e-05
51,3.261262099840678e-05
52,3.254402690799907e-05
53,3.246674532420002e-05
54,3.2391759305028245e-05
55,3.2319156161975116e-05
56,3.23063759424258e-05
57,3.23063759424258e-05
58,3.23063759424258e-05
59,3.23063759424258e-05
60,3.23063759424258e-05
61,3.23063759424258e-05
62,3.23063759424258e-05
63,3.23063759424258e-05
64,3.23063759424258e-05
65,3.23063759424258e-05
66,3.23063759424258e-05
