epoch,loss
0,0.0001279872958548367
1,0.00010152559116249904
2,8.004120172699913e-05
3,3.616236426751129e-05
4,2.104381928802468e-05
5,2.0099720131838694e-05
6,1.976325802388601e-05
7,1.953202809090726e-05
8,1.9499844711390324e-05
9,1.945291478477884e-05
10,1.945291478477884e-05
11,1.945291478477884e-05
12,1.945291478477884e-05
13,1.945291478477884e-05
14,1.945291478477884e-05
15,1.945291478477884e-05
16,1.945291478477884e-05
17,1.945291478477884e-05
18,1.945291478477884e-05
19,1.945291478477884e-05
