epoch,loss
0,0.00028020376339554787
1,0.00019420818716753274
2,0.00011256078141741455
3,8.333999721799046e-05
4,5.763991430285387e-05
5,4.943394014844671e-05
6,4.453401197679341e-05
7,4.1140698158415034e-05
8,3.953502528020181e-05
9,3.8565303839277476e-05
10,3.817069955402985e-05
11,3.782396379392594e-05
12,3.7605503166560084e-05
13,3.747285882127471e-05
14,3.7376059481175616e-05
15,3.7291210901457816e-05
16,3.728019873960875e-05
17,3.720662061823532e-05
18,3.71574133168906e-05
19,3.7156565667828545e-05
20,3.7154139135964215e-05
21,3.7088302633492276e-05
22,3.7022669857833534e-05
23,3.6982266465201974e-05
24,3.697165448102169e-05
25,3.6916255339747295e-05
26,3.6866669688606635e-05
27,3.685443880385719e-05
28,3.685443880385719e-05
29,3.685443880385719e-05
30,3.685443880385719e-05
31,3.685443880385719e-05
32,3.685443880385719e-05
33,3.685443880385719e-05
34,3.685443880385719e-05
35,3.685443880385719e-05
36,3.685443880385719e-05
37,3.685443880385719e-05
