epoch,loss
0,6.0609330830629915e-05
1,5.9671718190656975e-05
2,5.8251956943422556e-05
3,5.633199543808587e-05
4,5.438017979031429e-05
5,5.3906067478237674e-05
6,5.3613981435773894e-05
7,5.336674803402275e-05
8,5.3166957513894886e-05
9,5.306131788529456e-05
10,5.302999124978669e-05
11,5.302999124978669e-05
12,5.302999124978669e-05
13,5.302999124978669e-05
14,5.302999124978669e-05
15,5.302999124978669e-05
16,5.302999124978669e-05
17,5.302999124978669e-05
18,5.302999124978669e-05
19,5.302999124978669e-05
20,5.302999124978669e-05
