epoch,loss
0,8.198196883313358e-05
1,6.449185457313433e-05
2,5.736031016567722e-05
3,5.0706250476650894e-05
4,4.089999492862262e-05
5,3.6132954846834764e-05
6,3.338844908284955e-05
7,3.2006581022869796e-05
8,3.117905725957826e-05
9,3.0395709472941235e-05
10,2.9453265597112477e-05
11,2.8795806429116055e-05
12,2.823906106641516e-05
13,2.7746449632104486e-05
14,2.7002468414139003e-05
15,2.6555802833172493e-05
16,2.6233608878101222e-05
17,2.5882571208057925e-05
18,2.5496336093056016e-05
19,2.512164974177722e-05
20,2.476978988852352e-05
21,2.456734910083469e-05
22,2.434668567730114e-05
23,2.4123621187754907e-05
24,2.3891270757303573e-05
25,2.3577404135721736e-05
26,2.3455890186596662e-05
27,2.3369375412585214e-05
28,2.3265167328645475e-05
29,2.3124033759813756e-05
30,2.2944959710002877e-05
31,2.2852436813991517e-05
32,2.267890886287205e-05
33,2.2490197807201184e-05
34,2.2453417841461487e-05
35,2.2287760657491162e-05
36,2.2159047148306854e-05
37,2.2148016796563752e-05
38,2.2027106751920655e-05
39,2.1941581508144736e-05
40,2.191297971876338e-05
41,2.1800569811603054e-05
42,2.168346691178158e-05
43,2.156032314815093e-05
44,2.150772161257919e-05
45,2.150711588910781e-05
46,2.1375351934693754e-05
47,2.133337147824932e-05
48,2.125580249412451e-05
49,2.1141377146705054e-05
50,2.1047135305707343e-05
51,2.092028626066167e-05
52,2.0919713278999552e-05
53,2.0791052520507947e-05
54,2.0768900867551565e-05
55,2.068465983029455e-05
56,2.0634908651118167e-05
57,2.0629848222597502e-05
58,2.0620642317226157e-05
59,2.0528481400106102e-05
60,2.0447128918021917e-05
61,2.035450961557217e-05
62,2.0230583686497994e-05
63,2.0192474039504305e-05
64,2.0142690118518658e-05
65,2.0108665921725333e-05
66,2.0010917069157586e-05
67,1.996749415411614e-05
68,1.9957858967245556e-05
69,1.9949902707594447e-05
70,1.9933864678023383e-05
71,1.992857505683787e-05
72,1.9917768440791406e-05
73,1.986356801353395e-05
74,1.9786104530794546e-05
75,1.9703060388565063e-05
76,1.9642855477286503e-05
77,1.9536391846486367e-05
78,1.950230580405332e-05
79,1.949050056282431e-05
80,1.9444012650637887e-05
81,1.9410030290600844e-05
82,1.9396575225982815e-05
83,1.934645297296811e-05
84,1.92950465134345e-05
85,1.9190214516129345e-05
86,1.9140428776154295e-05
87,1.907828846015036e-05
88,1.9029375835089013e-05
89,1.8998787709278986e-05
90,1.8934244508272968e-05
91,1.8839651602320373e-05
92,1.8809800167218782e-05
93,1.8802744307322428e-05
94,1.8802744307322428e-05
95,1.8802744307322428e-05
96,1.8802744307322428e-05
97,1.8802744307322428e-05
98,1.8802744307322428e-05
99,1.8802744307322428e-05
100,1.8802744307322428e-05
101,1.8802744307322428e-05
102,1.8802744307322428e-05
103,1.8802744307322428e-05
