epoch,loss
0,0.0019152082968503237
1,0.001658532302826643
2,0.0011875341879203916
3,0.0006309399614110589
4,0.00023129316105041653
5,0.00016073331062216312
6,0.00011697620357153937
7,8.113469812087715e-05
8,6.938958540558815e-05
9,6.231980660231784e-05
10,5.9021826018579304e-05
11,5.7148248743033037e-05
12,5.567564585362561e-05
13,5.449152013170533e-05
14,5.322091237758286e-05
15,5.259037425275892e-05
16,5.193960532778874e-05
17,5.1383987738518044e-05
18,5.0907532568089664e-05
19,5.057018279330805e-05
20,5.0329126679571345e-05
21,5.0143229600507766e-05
22,4.995567360310815e-05
23,4.9764432333176956e-05
24,4.955451368005015e-05
25,4.941009319736622e-05
26,4.9270212912233546e-05
27,4.915504905511625e-05
28,4.9030317313736305e-05
29,4.889805131824687e-05
30,4.8810295993462205e-05
31,4.875854938291013e-05
32,4.872510544373654e-05
33,4.8670433898223564e-05
34,4.866743984166533e-05
35,4.864099173573777e-05
36,4.858900501858443e-05
37,4.852405982092023e-05
38,4.849614197155461e-05
39,4.8431083996547386e-05
40,4.842615089728497e-05
41,4.839577013626695e-05
42,4.834396531805396e-05
43,4.8288533434970304e-05
44,4.82282557641156e-05
45,4.822517075808719e-05
46,4.822517075808719e-05
47,4.822517075808719e-05
48,4.822517075808719e-05
49,4.822517075808719e-05
50,4.822517075808719e-05
51,4.822517075808719e-05
52,4.822517075808719e-05
53,4.822517075808719e-05
54,4.822517075808719e-05
55,4.822517075808719e-05
