epoch,loss
0,0.0012281602248549461
1,0.0010236441157758236
2,0.0007241918356157839
3,0.00037508108653128147
4,0.0001638625981286168
5,0.0001317324349656701
6,0.00010607526201056316
7,8.32977966638282e-05
8,7.393204577965662e-05
9,6.890586519148201e-05
10,6.676770135527477e-05
11,6.566770753124729e-05
12,6.437940464820713e-05
13,6.356047379085794e-05
14,6.252602179301903e-05
15,6.194416346261278e-05
16,6.170641427161172e-05
17,6.12240401096642e-05
18,6.083348853280768e-05
19,6.040500375092961e-05
20,6.016463885316625e-05
21,5.993475497234613e-05
22,5.960669295745902e-05
23,5.9381094615673646e-05
24,5.906719161430374e-05
25,5.873965346836485e-05
26,5.869852247997187e-05
27,5.8488480135565624e-05
28,5.827327913721092e-05
29,5.8104189520236105e-05
30,5.792896627099253e-05
31,5.778425111202523e-05
32,5.767797483713366e-05
33,5.7550714700482786e-05
34,5.7413191825617105e-05
35,5.727966708946042e-05
36,5.714876897400245e-05
37,5.71344316995237e-05
38,5.7018743973458186e-05
39,5.6904525990830734e-05
40,5.679042806150392e-05
41,5.6642973504494876e-05
42,5.6572087487438694e-05
43,5.6465181842213497e-05
44,5.63906469324138e-05
45,5.630599116557278e-05
46,5.6198980018962175e-05
47,5.613435132545419e-05
48,5.6058841437334195e-05
49,5.5947559303604066e-05
50,5.5833304941188544e-05
51,5.579115168075077e-05
52,5.572621739702299e-05
53,5.5643617088207975e-05
54,5.5563432397320867e-05
55,5.547568071051501e-05
56,5.535222226171754e-05
57,5.527265602722764e-05
58,5.5215510656125844e-05
59,5.513773794518784e-05
60,5.5116488510975614e-05
61,5.5043983593350276e-05
62,5.492869968293235e-05
63,5.485206565936096e-05
64,5.480270920088515e-05
65,5.479033643496223e-05
66,5.473073906614445e-05
67,5.4691881814505905e-05
68,5.4634980187984183e-05
69,5.4585278121521696e-05
70,5.453542689792812e-05
71,5.447002695291303e-05
72,5.4380871006287634e-05
73,5.430798773886636e-05
74,5.4221942264121026e-05
75,5.419929220806807e-05
76,5.4107473260955885e-05
77,5.4074600484455004e-05
78,5.399687142926268e-05
79,5.396043343353085e-05
80,5.391250306274742e-05
81,5.383477036957629e-05
82,5.3745261539006606e-05
83,5.368258644011803e-05
84,5.3604049753630534e-05
85,5.357408008421771e-05
86,5.352825974114239e-05
87,5.3447274694917724e-05
88,5.337281254469417e-05
89,5.3338106226874515e-05
90,5.330455314833671e-05
91,5.32744888914749e-05
92,5.32474514329806e-05
93,5.323130972101353e-05
94,5.314944064593874e-05
95,5.3060157370055094e-05
96,5.298332325764932e-05
97,5.2917090215487406e-05
98,5.2901217713952065e-05
99,5.2789313485845923e-05
100,5.2672341553261504e-05
101,5.257156954030506e-05
102,5.243773557594977e-05
103,5.232709372648969e-05
104,5.223144034971483e-05
105,5.213254189584404e-05
106,5.203713590162806e-05
107,5.195199264562689e-05
108,5.1830647862516344e-05
109,5.167980270925909e-05
110,5.156135011930019e-05
111,5.145764589542523e-05
112,5.1347236876608804e-05
113,5.120554124005139e-05
114,5.1107148465234786e-05
115,5.099741247249767e-05
116,5.091103594168089e-05
117,5.08391167386435e-05
118,5.0766368076438084e-05
119,5.0766368076438084e-05
120,5.0766368076438084e-05
121,5.0766368076438084e-05
122,5.0766368076438084e-05
123,5.0766368076438084e-05
124,5.0766368076438084e-05
125,5.0766368076438084e-05
126,5.0766368076438084e-05
127,5.0766368076438084e-05
128,5.0766368076438084e-05
