epoch,loss
0,0.00022794136020820588
1,0.00016022329509723932
2,9.35365678742528e-05
3,5.854670234839432e-05
4,4.619207538780756e-05
5,4.1369574319105595e-05
6,3.871921944664791e-05
7,3.729080708581023e-05
8,3.658634886960499e-05
9,3.627988917287439e-05
10,3.6173321859678254e-05
11,3.601769276428968e-05
12,3.5881173971574754e-05
13,3.574949732865207e-05
14,3.57102180714719e-05
15,3.5619676054921e-05
16,3.5526329156709835e-05
17,3.552319321897812e-05
18,3.551187910488807e-05
19,3.551144982338883e-05
20,3.551144982338883e-05
21,3.551144982338883e-05
22,3.551144982338883e-05
23,3.551144982338883e-05
24,3.551144982338883e-05
25,3.551144982338883e-05
26,3.551144982338883e-05
27,3.551144982338883e-05
28,3.551144982338883e-05
29,3.551144982338883e-05
