epoch,loss
0,5.798161873826757e-05
1,5.697423330275342e-05
2,5.515700104297139e-05
3,5.269725079415366e-05
4,5.123225855641067e-05
5,5.073940701549873e-05
6,5.0560356612550095e-05
7,5.042860357207246e-05
8,5.042775592301041e-05
9,5.035796857555397e-05
10,5.035717549617402e-05
11,5.032720946474001e-05
12,5.032720946474001e-05
13,5.032720946474001e-05
14,5.032720946474001e-05
15,5.032720946474001e-05
16,5.032720946474001e-05
17,5.032720946474001e-05
18,5.032720946474001e-05
19,5.032720946474001e-05
20,5.032720946474001e-05
21,5.032720946474001e-05
