epoch,loss
0,0.3237898051738739
1,0.050535667687654495
2,0.004426205065101385
3,0.0010027416283264756
4,0.0005574297974817455
5,0.0004136717470828444
6,0.00027483244775794446
7,0.0001477047917433083
8,0.00011969723709626123
9,0.00010761590237962082
10,0.00010108154674526304
11,8.87309288373217e-05
12,8.059079846134409e-05
13,7.826630462659523e-05
14,7.617260416736826e-05
15,6.391898932633922e-05
16,4.194645589450374e-05
17,3.169054980389774e-05
18,2.582238994364161e-05
19,2.235127794847358e-05
20,8.415645424975082e-06
21,5.343347766029183e-06
22,1.6662801272104844e-06
23,1.2320828091105795e-06
24,9.764153219293803e-07
25,9.764153219293803e-07
26,9.764153219293803e-07
27,9.764153219293803e-07
28,9.764153219293803e-07
29,9.764153219293803e-07
30,9.764153219293803e-07
31,9.764153219293803e-07
32,9.764153219293803e-07
33,9.764153219293803e-07
34,9.764153219293803e-07
35,9.764153219293803e-07
36,9.764153219293803e-07
37,9.764153219293803e-07
38,9.764153219293803e-07
39,9.764153219293803e-07
40,9.764153219293803e-07
41,9.764153219293803e-07
42,9.764153219293803e-07
43,9.764153219293803e-07
44,9.764153219293803e-07
45,9.764153219293803e-07
46,9.764153219293803e-07
47,9.764153219293803e-07
48,9.764153219293803e-07
49,9.764153219293803e-07
50,9.764153219293803e-07
51,9.764153219293803e-07
52,9.764153219293803e-07
53,9.764153219293803e-07
54,9.764153219293803e-07
55,9.764153219293803e-07
56,9.764153219293803e-07
57,9.764153219293803e-07
58,9.764153219293803e-07
59,9.764153219293803e-07
60,9.764153219293803e-07
61,9.764153219293803e-07
62,9.764153219293803e-07
63,9.764153219293803e-07
64,9.764153219293803e-07
65,9.764153219293803e-07
66,9.764153219293803e-07
67,9.764153219293803e-07
68,9.764153219293803e-07
69,9.764153219293803e-07
70,9.764153219293803e-07
71,9.764153219293803e-07
72,9.764153219293803e-07
73,9.764153219293803e-07
74,9.764153219293803e-07
75,9.764153219293803e-07
76,9.764153219293803e-07
77,9.764153219293803e-07
78,9.764153219293803e-07
79,9.764153219293803e-07
80,9.764153219293803e-07
81,9.764153219293803e-07
82,9.764153219293803e-07
83,9.764153219293803e-07
84,9.764153219293803e-07
85,9.764153219293803e-07
86,9.764153219293803e-07
87,9.764153219293803e-07
88,9.764153219293803e-07
89,9.764153219293803e-07
90,9.764153219293803e-07
91,9.764153219293803e-07
92,9.764153219293803e-07
93,9.764153219293803e-07
94,9.764153219293803e-07
95,9.764153219293803e-07
96,9.764153219293803e-07
97,9.764153219293803e-07
98,9.764153219293803e-07
99,9.764153219293803e-07
100,9.764153219293803e-07
101,9.764153219293803e-07
102,9.764153219293803e-07
103,9.764153219293803e-07
104,9.764153219293803e-07
105,9.764153219293803e-07
106,9.764153219293803e-07
107,9.764153219293803e-07
108,9.764153219293803e-07
109,9.764153219293803e-07
110,9.764153219293803e-07
111,9.764153219293803e-07
112,9.764153219293803e-07
113,9.764153219293803e-07
114,9.764153219293803e-07
115,9.764153219293803e-07
116,9.764153219293803e-07
117,9.764153219293803e-07
118,9.764153219293803e-07
119,9.764153219293803e-07
120,9.764153219293803e-07
121,9.764153219293803e-07
122,9.764153219293803e-07
123,9.764153219293803e-07
124,9.764153219293803e-07
